provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
VPN.ac,Romania,lt-50,17,1,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,Moldova,lt-50,3,1,lt-50,72.6,VPN-Infrastructure-Atlas
Sentinel dVPN,China,lt-50,19,3,lt-50,95.0,VPN-Infrastructure-Atlas
SSHMax,Czechia,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Jantit,Russia,lt-50,16,2,lt-50,88.0,VPN-Infrastructure-Atlas
Vpnht,United Kingdom,lt-50,8,2,lt-50,78.0,VPN-Infrastructure-Atlas
WLVPN,Estonia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Estonia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,India,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN Gate,United States,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
VPN Jantit,France,lt-50,16,2,lt-50,88.0,VPN-Infrastructure-Atlas
WLVPN,India,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,Latvia,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Australia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Australia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Australia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Australia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Perimeter81,United States,lt-50,4,1,lt-50,70.0,VPN-Infrastructure-Atlas
Private Internet Access,United Kingdom,lt-50,5,3,lt-50,95.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Romania,lt-50,15,1,lt-50,78.0,VPN-Infrastructure-Atlas
Trust.Zone,United Kingdom,lt-50,15,3,lt-50,70.0,VPN-Infrastructure-Atlas
TunnelBear,Hong Kong,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,Albania,lt-50,2,1,lt-50,75.0,VPN-Infrastructure-Atlas
FrootVPN,United Kingdom,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
OVPN,Romania,lt-50,14,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Canada,lt-50,11,4,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,United States,lt-50,9,6,lt-50,95.0,VPN-Infrastructure-Atlas
Safervpn,United States,lt-50,14,5,lt-50,78.0,VPN-Infrastructure-Atlas
VPNUK,Canada,lt-50,15,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Indonesia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Japan,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
AzireVPN,United States,lt-50,14,5,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Hotspotshield,Romania,lt-50,14,1,lt-50,78.0,VPN-Infrastructure-Atlas
IPVanish,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,United States,lt-50,14,7,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
